FIPS,County,Year,Population,Primary County Coordinates
19001,Adair County,April 01 1990,8409,"(41.331, -94.471)"
19001,Adair County,July 01 1991,8397,"(41.331, -94.471)"
19001,Adair County,July 01 1992,8430,"(41.331, -94.471)"
19001,Adair County,July 01 1993,8441,"(41.331, -94.471)"
19001,Adair County,July 01 1994,8483,"(41.331, -94.471)"
19001,Adair County,July 01 1995,8380,"(41.331, -94.471)"
19001,Adair County,July 01 1996,8366,"(41.331, -94.471)"
19001,Adair County,July 01 1997,8363,"(41.331, -94.471)"
19001,Adair County,July 01 1998,8310,"(41.331, -94.471)"
19001,Adair County,July 01 1999,8305,"(41.331, -94.471)"
19001,Adair County,April 01 2000,8243,"(41.331, -94.471)"
19001,Adair County,July 01 2001,8077,"(41.331, -94.471)"
19001,Adair County,July 01 2002,7964,"(41.331, -94.471)"
19001,Adair County,July 01 2003,7916,"(41.331, -94.471)"
19001,Adair County,July 01 2004,7847,"(41.331, -94.471)"
19001,Adair County,July 01 2005,7721,"(41.331, -94.471)"
19001,Adair County,July 01 2006,7677,"(41.331, -94.471)"
19001,Adair County,July 01 2007,7584,"(41.331, -94.471)"
19001,Adair County,July 01 2008,7445,"(41.331, -94.471)"
19001,Adair County,July 01 2009,7350,"(41.331, -94.471)"
19001,Adair County,April 01 2010,7682,"(41.331, -94.471)"
19003,Adams County,April 01 1990,4866,"(41.029, -94.699)"
19003,Adams County,July 01 1991,4845,"(41.029, -94.699)"
19003,Adams County,July 01 1992,4748,"(41.029, -94.699)"
19003,Adams County,July 01 1993,4687,"(41.029, -94.699)"
19003,Adams County,July 01 1994,4634,"(41.029, -94.699)"
19003,Adams County,July 01 1995,4616,"(41.029, -94.699)"
19003,Adams County,July 01 1996,4578,"(41.029, -94.699)"
19003,Adams County,July 01 1997,4534,"(41.029, -94.699)"
19003,Adams County,July 01 1998,4503,"(41.029, -94.699)"
19003,Adams County,July 01 1999,4493,"(41.029, -94.699)"
19003,Adams County,April 01 2000,4482,"(41.029, -94.699)"
19003,Adams County,July 01 2001,4396,"(41.029, -94.699)"
19003,Adams County,July 01 2002,4350,"(41.029, -94.699)"
19003,Adams County,July 01 2003,4321,"(41.029, -94.699)"
19003,Adams County,July 01 2004,4256,"(41.029, -94.699)"
19003,Adams County,July 01 2005,4159,"(41.029, -94.699)"
19003,Adams County,July 01 2006,4141,"(41.029, -94.699)"
19003,Adams County,July 01 2007,4099,"(41.029, -94.699)"
19003,Adams County,July 01 2008,4032,"(41.029, -94.699)"
19003,Adams County,July 01 2009,3930,"(41.029, -94.699)"
19003,Adams County,April 01 2010,4029,"(41.029, -94.699)"
19005,Allamakee County,April 01 1990,13855,"(43.284, -91.378)"
19005,Allamakee County,July 01 1991,13836,"(43.284, -91.378)"
19005,Allamakee County,July 01 1992,13996,"(43.284, -91.378)"
19005,Allamakee County,July 01 1993,14123,"(43.284, -91.378)"
19005,Allamakee County,July 01 1994,14231,"(43.284, -91.378)"
19005,Allamakee County,July 01 1995,14248,"(43.284, -91.378)"
19005,Allamakee County,July 01 1996,14484,"(43.284, -91.378)"
19005,Allamakee County,July 01 1997,14468,"(43.284, -91.378)"
19005,Allamakee County,July 01 1998,14487,"(43.284, -91.378)"
19005,Allamakee County,July 01 1999,14611,"(43.284, -91.378)"
19005,Allamakee County,April 01 2000,14675,"(43.284, -91.378)"
19005,Allamakee County,July 01 2001,14343,"(43.284, -91.378)"
19005,Allamakee County,July 01 2002,14309,"(43.284, -91.378)"
19005,Allamakee County,July 01 2003,14371,"(43.284, -91.378)"
19005,Allamakee County,July 01 2004,14371,"(43.284, -91.378)"
19005,Allamakee County,July 01 2005,14419,"(43.284, -91.378)"
19005,Allamakee County,July 01 2006,14442,"(43.284, -91.378)"
19005,Allamakee County,July 01 2007,14421,"(43.284, -91.378)"
19005,Allamakee County,July 01 2008,14416,"(43.284, -91.378)"
19005,Allamakee County,July 01 2009,14407,"(43.284, -91.378)"
19005,Allamakee County,April 01 2010,14330,"(43.284, -91.378)"
19007,Appanoose County,April 01 1990,13743,"(40.743, -92.869)"
19007,Appanoose County,July 01 1991,13744,"(40.743, -92.869)"
19007,Appanoose County,July 01 1992,13768,"(40.743, -92.869)"
19007,Appanoose County,July 01 1993,13865,"(40.743, -92.869)"
19007,Appanoose County,July 01 1994,13903,"(40.743, -92.869)"
19007,Appanoose County,July 01 1995,13726,"(40.743, -92.869)"
19007,Appanoose County,July 01 1996,13723,"(40.743, -92.869)"
19007,Appanoose County,July 01 1997,13752,"(40.743, -92.869)"
19007,Appanoose County,July 01 1998,13677,"(40.743, -92.869)"
19007,Appanoose County,July 01 1999,13761,"(40.743, -92.869)"
19007,Appanoose County,April 01 2000,13723,"(40.743, -92.869)"
19007,Appanoose County,July 01 2001,13558,"(40.743, -92.869)"
19007,Appanoose County,July 01 2002,13377,"(40.743, -92.869)"
19007,Appanoose County,July 01 2003,13452,"(40.743, -92.869)"
19007,Appanoose County,July 01 2004,13355,"(40.743, -92.869)"
19007,Appanoose County,July 01 2005,13315,"(40.743, -92.869)"
19007,Appanoose County,July 01 2006,13158,"(40.743, -92.869)"
19007,Appanoose County,July 01 2007,12926,"(40.743, -92.869)"
19007,Appanoose County,July 01 2008,12780,"(40.743, -92.869)"
19007,Appanoose County,July 01 2009,12698,"(40.743, -92.869)"
19007,Appanoose County,April 01 2010,12887,"(40.743, -92.869)"
19009,Audubon County,April 01 1990,7334,"(41.685, -94.906)"
19009,Audubon County,July 01 1991,7335,"(41.685, -94.906)"
19009,Audubon County,July 01 1992,7251,"(41.685, -94.906)"
19009,Audubon County,July 01 1993,7141,"(41.685, -94.906)"
19009,Audubon County,July 01 1994,7038,"(41.685, -94.906)"
19009,Audubon County,July 01 1995,6992,"(41.685, -94.906)"
19009,Audubon County,July 01 1996,6954,"(41.685, -94.906)"
19009,Audubon County,July 01 1997,6920,"(41.685, -94.906)"
19009,Audubon County,July 01 1998,6916,"(41.685, -94.906)"
19009,Audubon County,July 01 1999,6893,"(41.685, -94.906)"
19009,Audubon County,April 01 2000,6830,"(41.685, -94.906)"
19009,Audubon County,July 01 2001,6657,"(41.685, -94.906)"
19009,Audubon County,July 01 2002,6549,"(41.685, -94.906)"
19009,Audubon County,July 01 2003,6438,"(41.685, -94.906)"
19009,Audubon County,July 01 2004,6378,"(41.685, -94.906)"
19009,Audubon County,July 01 2005,6251,"(41.685, -94.906)"
19009,Audubon County,July 01 2006,6179,"(41.685, -94.906)"
19009,Audubon County,July 01 2007,6132,"(41.685, -94.906)"
19009,Audubon County,July 01 2008,6105,"(41.685, -94.906)"
